id_number	mz	rtime	posi-Yeast-12C14N-a	posi-Yeast-12C14N-b	posi-Yeast-12C14N-c	posi-Yeast-13C14N-a	posi-Yeast-13C14N-b	posi-Yeast-13C14N-c
F8048	574.2542	150.31	67782249	76366821	82150277	83122332	87594573	90557288
F6766	424.3266	152.07	13112520	13955144	12085197	16653811	14745118	15152347
F5840	496.348	152.07	24538117	25399725	25670087	29504818	27157896	27522940
F8868	587.4491	238.79	8420376	2677046	9215059	10648540	10689019	11166501
F10216	604.4577	129.37	16093398	17344121	16697123	17992151	18925384	17825510
F6160	458.2531	147.7	11213047	10843119	11264405	9133811	9595304	8851806
F6063	499.3667	156.73	31818564	34548967	33756072	35728061	37421077	35983175
F8847	587.3406	143.05	11234249	8393325	11053012	10984443	8628217	7860312
F9210	648.4843	141.99	9230565	8273338	7288227	14754114	10853784	13703170
F9692	821.3764	151.18	6562760	8919416	9382647	8321442	9746839	9906040
F10640	610.4877	150.31	7594050	11058733	12498790	9139227	9650731	11512623
F8433	392.1913	149.44	1869084054	1891808035	1871508091	2211813296	2177324225	2059273793
F9863	544.4209	146.83	13020906	12468531	11361220	12054884	10141860	8308862
F11423	567.2736	516.63	0	0	0	49493706	47944547	51276528
F11908	723.54	148.57	9641607	11325760	9565853	13845949	12388764	11263861
F1122	211.1564	148.57	3762430	2560339	2605492	14282335	14814086	13812820
F11401	623.4541	154.79	6737491	6772664	8914699	9495289	8836376	10510373
F10654	611.3276	150.31	9732263	13629517	12953765	14415003	15251792	15588750
F13664	804.3428	665.92	66258017	68328123	79386471	0	0	0
F11182	563.5505	146.83	293353827	320822434	338268605	87860609	87993739	82618936
F7898	436.2176	149.44	72971964	68314843	73210600	80613253	67710410	77808461
F8178	390.2225	168.67	8740856	8894852	8759801	11728408	10307385	10902824
F8543	636.9793	148.57	12224591	15126154	18322908	21359972	19279589	19572014
F10805	613.4267	150.31	9071200	11027185	13452409	13579733	13386151	13015325
F8627	638.3376	168.67	12903383	13475533	14817743	13608757	13764128	12269134
F3877	353.3052	141.99	7526461	8265090	7530545	7859731	8591027	7409015
F11568	569.4015	148.57	9784040	11386714	14078133	13224225	14226769	15930542
F5389	413.1206	148.57	25774958	17243965	21065518	28697084	21303698	21543896
F8125	574.4158	168.67	14315367	14714097	15452674	17485984	17273043	17132749
